Iteration,Lap,Theme,Status,Responsible,Supporting,Date,Models,Version,Run method,Period,Domains,Aggregation,Calibration,Geofabric,Routing,Landcover,Soils,Water Management,Forcing,Benchmarks,Notes
0.00,Lap 0,MAF - Model setup ,Complete,Zelalem ,,,,,,1980 - 2018,"All of Canada, including transboundary",100 km^2,No,Merit Hydro,WATroute,NALCMS,Out of box,No,CaSR2.1,"KGE, NSE, Bias distribution for CAMEL-spat network",Calibration strategy and benchmarks should be detailed in another document
,Lap 1,Out of box parameter MESH run,,,,,,,,,,,,,,,,,,,
1.01,,Base case 0 - run with uncalibrated paramters,Complete,Zelalem ,,1-Sep-24,MESH,1860_ME_ZT,non-chunking,1980 - 2018,"All of Canada, including transboundary",100 km^2,No,Merit Hydro,WATroute,NALCMS,"""",No,CaSR2.1,"KGE, NSE, Bias distribution for CAMEL-spat network","Default parameter  value from CLASS 3.6 Technical documentation, MESH-setup with additional outlet"
1.02,,Base case 0 - run with uncalibrated paramters,Complete,Zelalem & Sujata,,24-Jun-25,MESH,1860_ME_ZT,non-chunking,1980 - 2018,CamelSpat basins,100 km^2,No,Merit Hydro,WATroute,NALCMS,"""",No,CaSR2.1,"KGE, NSE, Bias distribution for CAMEL-spat network","Default parameter  value from CLASS 3.6 Technical documentation, MESH-setup with additional outlet"
1.03,,Base case 0 - run with uncalibrated paramters,Complete,Zelalem & Sujata,,24-Jun-25,MESH,1860_ME_ZT,non-chunking,1980 - 2018,CamelSpat basins,100 km^2,No,Merit Hydro,WATroute,NALCMS,"""",No,CaSR3.1,"KGE, NSE, Bias distribution for CAMEL-spat network","Default parameter value from CLASS 3.6 Technical documentation, MESH-setup with additional outlet"
1.04,,Intitial Climate Change Simulations - sub-areas (parameterization from iteration 0.00)-CanRCM4-WFDEI-GEM-CaPA-RCP8.5 (15 ensemble),Complete ,Sujata,,24-Jul-25,"""",1860_ME_ZT,non-chunking,1950 - 2100,Climate Change Benchmark Basins,100 km^2,No,"""",WATroute,"""","""","""",CMIP5 (downscaled and bias corrected) ,Comparison between CMIP5 and 6,"Default parameter value  from CLASS 3.6 Technical documentation, MESH-setup with additional outlet"
1.05,,Intitial Climate Change Simulations - sub-areas (parameterization from iteration 0.00)-CanESM5 Histrorical,Complete ,Sujata,,21-Aug-25,"""",1860_ME_ZT,non-chunking,1950 - 2014,Climate Change Benchmark Basins,100 km^2,No,"""",WATroute,"""","""","""","CMIP6 (downscaled, not bias corrected)",Comparison between CMIP5 and 6,"Default parameter value from CLASS 3.6 Technical documentation, MESH-setup with additional outlet"
1.06,,Intitial Climate Change Simulations - sub-areas (parameterization from iteration 0.00)-CanESM5 SSP 1-2.6,Complete,Sujata,,21-Aug-25,"""",1860_ME_ZT,non-chunking,2015 - 2100,Climate Change Benchmark Basins,100 km^2,No,"""",WATroute,"""","""","""","CMIP6 (downscaled, not bias corrected)",Comparison between CMIP5 and 6,"Default parameter value from CLASS 3.6 Technical documentation, MESH-setup with additional outlet"
1.07,,Intitial Climate Change Simulations - sub-areas (parameterization from iteration 0.00)-CanESM5 SSP 2-4.5,Complete,Sujata,,21-Aug-25,"""",1860_ME_ZT,non-chunking,2015 - 2100,Climate Change Benchmark Basins,100 km^2,No,"""",WATroute,"""","""","""","CMIP6 (downscaled, not bias corrected)",Comparison between CMIP5 and 6,"Default parameter value from CLASS 3.6 Technical documentation, MESH-setup with additional outlet"
1.08,,Intitial Climate Change Simulations - sub-areas (parameterization from iteration 0.00)-CanESM5 SSP 3-7.0,Complete,Sujata,,21-Aug-25,"""",1860_ME_ZT,non-chunking,2015 - 2100,Climate Change Benchmark Basins,100 km^2,No,"""",WATroute,"""","""","""","CMIP6 (downscaled, not bias corrected)",Comparison between CMIP5 and 6,"Default parameter value from CLASS 3.6 Technical documentation, MESH-setup with additional outlet"
