StationID,COMID_WSC,COMID_GAGE,COMID_CAMELS,COMID_CLRHNA,COMID
01010000,,,,72040098.0,72040098.0
01010000,,,,72040098.0,72040098.0
01010070,,,,72041316.0,72041316.0
01010100,,,,72041782.0,72041782.0
01010100,,,,72041782.0,72041782.0
01010500,,,,72040057.0,72040057.0
01010500,,,,72040057.0,72040057.0
01011000,,72040788.0,,72040788.0,72040788.0
01011500,,,,72040181.0,72040181.0
01012500,,,,72040043.0,72040043.0
01012500,,,,72040043.0,72040043.0
01012515,,,,72043955.0,72043955.0
01012515,,,,72043955.0,72043955.0
01012525,,,,72043955.0,72043955.0
01012570,,,,72042383.0,72042383.0
01012570,,,,72042383.0,72042383.0
01013500,,72040863.0,72040863.0,72040863.0,72040863.0
01013500,,72040863.0,72040863.0,72040863.0,72040863.0
01014000,,,,72040039.0,72040039.0
01015000,,,,72040015.0,72040015.0
01015010,,,,72040012.0,72040012.0
01015800,,72040358.0,,72040358.0,72040358.0
01015800,,72040358.0,,72040358.0,72040358.0
01016500,,72041030.0,,72041030.0,72041030.0
01016500,,72041030.0,,72041030.0,72041030.0
01017000,,72040306.0,,72040306.0,72040306.0
01017000,,72040306.0,,72040306.0,72040306.0
01017060,,72040288.0,,72040288.0,72040288.0
01017060,,72040288.0,,72040288.0,72040288.0
01017290,,72041257.0,,72041257.0,72041257.0
01017290,,72041257.0,,72041257.0,72041257.0
01017500,,,,72040258.0,72040258.0
01017500,,,,72040258.0,72040258.0
01017550,,72043806.0,,72043806.0,72043806.0
01017550,,72043806.0,,72043806.0,72043806.0
01017900,,,,72050551.0,72050551.0
01017960,,72047863.0,,72047863.0,72047863.0
01017960,,72047863.0,,72047863.0,72047863.0
01018000,,72047630.0,,72047630.0,72047630.0
01018000,,72047630.0,,72047630.0,72047630.0
01018009,,72047548.0,,72047548.0,72047548.0
01018009,,72047548.0,,72047548.0,72047548.0
01018035,,,,72047548.0,72047548.0
01018035,,,,72047548.0,72047548.0
01019000,,,,73000706.0,73000706.0
01021000,,,,73000446.0,73000446.0
01027200,,73000125.0,,73000125.0,73000125.0
01028000,,,,73000053.0,73000053.0
01029200,,73000123.0,,73000123.0,73000123.0
01029500,,73000064.0,,73000064.0,73000064.0
01030000,,,,73000049.0,73000049.0
01030350,,,,73000182.0,73000182.0
01030500,,73000453.0,73000453.0,73000453.0,73000453.0
01031000,,,,73000001.0,73000001.0
01031300,,,,73000771.0,73000771.0
01031450,,,,73000795.0,73000795.0
01031500,,,,73000663.0,73000663.0
01031510,,,,73001455.0,73001455.0
01031600,,,,73000643.0,73000643.0
01033000,,,,73000495.0,73000495.0
01033500,,,,73000500.0,73000500.0
01034000,,,,73000492.0,73000492.0
01034500,,,,73000437.0,73000437.0
01035000,,,,73000659.0,73000659.0
01035500,,,,73001546.0,73001546.0
01036000,,,,73000435.0,73000435.0
01036500,,,,73000715.0,73000715.0
01037000,,,,73000715.0,73000715.0
01127880,,73000950.0,,73000950.0,73000950.0
01128500,,,,73000950.0,73000950.0
01129300,,,,73000844.0,73000844.0
01129440,,,,73001354.0,73001354.0
01129500,,,,73000604.0,73000604.0
01130000,,,,73000700.0,73000700.0
01131500,,,,73000573.0,73000573.0
01133000,,73000962.0,,73000962.0,73000962.0
01133500,,,,73000746.0,73000746.0
01134500,,73000849.0,73000849.0,73000849.0,73000849.0
01134800,,,,73000849.0,73000849.0
01135000,,73000849.0,,73000849.0,73000849.0
01135150,,73001155.0,,,73001155.0
01135300,,73000977.0,,73000977.0,73000977.0
01135500,,73000692.0,,73000692.0,73000692.0
01136000,,,,73001102.0,73001102.0
01137500,,,,73000783.0,73000783.0
01137940,,,,73000642.0,73000642.0
01138000,,,,73000615.0,73000615.0
01138500,,,,73000562.0,73000562.0
01139000,,73000925.0,73000925.0,73000925.0,73000925.0
01139500,,,,73000557.0,73000557.0
01139800,,73001025.0,73001025.0,73001025.0,73001025.0
01140000,,,,73000528.0,73000528.0
01140500,,,,73001712.0,73001712.0
01141500,,73002081.0,,73002081.0,73002081.0
01141800,,73002840.0,,73002840.0,73002840.0
01142000,,,,73001987.0,73001987.0
01142500,,73001843.0,73001843.0,73001843.0,73001843.0
01143500,,,,73001778.0,73001778.0
01144000,,73001771.0,73001771.0,73001771.0,73001771.0
